term_en,description_english,description_arabic,term_arabic
CONTINUANCE,Putting off a court case to a later date. (See ADJOURNMENT).,تأجيل القضية – تأخير محاكمة مقدمة للمحكمة إلى تاريخ آخر. (انظر: تعليق المسألة).,تأجيل القضية
CONTINUING EXCLUSIVE JURISDICTION,"Theory that only one court over should be valid between  the same people at a time. And when a court hears a child  support case, it can add to and change that order. The court  of continuing exclusive jurisdiction has control over a  support case until another court takes it away. This is  defined in the Uniform Interstate Family Support Act (UIFSA).","الاختصاص القضائي الاستمراري الحصري - نظرية أنه يجب أن يملك محكمة واحدة فقط اختصاصًا على قضية بين أفراد أنفسهم في الوقت نفسه، وعندما تسمع المحكمة قضية نفقة طفل، يمكنها أن تضيف إلى هذا الأمر وتغيره. تمتلك المحكمة  ذات الاختصاص القضائي الاستمراري الحصري السيطرة على قضية النفقة حتى تأخذها محكمة أخرى. أن هذه المعلومات محددة ضمن ""قانون دعم الأسرة المتباعد الولايات"".",الاختصاص القضائي الاستمراري الحصري
CONTRACT,"(1) an agreement between two or more people to do or not to do a particular thing; (2) an agreement between two or more people that makes, changes, or ends a legal relationship.",عقد - (١) اتفاق بين شخصين أو أكثر على عمل أمر معين أو عدم عمله؛ (٢) اتفاق بين شخصين أو أكثر ينتج عنه إقامة علاقة قانونية جديدة، أو يغير فيها، أو ينهيها.,عقد
CONTRIBUTORY NEGLIGENCE,"A legal doctrine that says if the plaintiff in a civil action for negligence also  was negligent, in any way, he or she cannot recover damages from the defandant for the defandant’s negligence.",الإهمال المشترك - مبدأ قانوني يقول إنه إذا كان المدعي في دعوى قضائية مدنية بسبب الإهمال أيضًا قد كان مهملاً، بأي شكل، فإنه لا يمكنه استرداد التعويضات من المدعى عليه بسبب إهمال الأخير.,الإهمال المشترك
CONTROLLED SUBSTANCES,"Any drug identified by law whose availability is restricted.  Unless otherwise specified, a drug, substance, or immediate precursor which is listed in any schedule in Health & Safety Code sections 11054, 11055, 11056, 11057 or 11058.",المواد المخدرة المسيطر عليها - أي دواء يحدد القانون توافره بشكل محدود. ما لم يذكر خلاف ذلك، فإن الدواء أو المادة أو السابق فوري المذكورة في أي جدول في الأقسام الخاصة بالصحة والأمان رقم 11054، 11055، 11056، 11057، أو 11058.,المواد المخدرة المسيطر عليها.
CONVERSION,The wrongful assumption of ownership over the goods or personal property belonging to another.,الاستيلاء – تصرف غير قانوني بتبني حق الملكية على البضائع أو الممتلكات الشخصية التي تخص شخصًا آخر.,الاستيلاء
CONVEY,(1) to give the title to property to someone else. (2) To make known or communicate.,بيع - (١) نقل ملكية عقار إلى شخص آخر؛ (٢) بيان معلومات.,بيع
DELINQUENCY COURT,The division of the Juvenile Court hearing cases where juveniles have been charged with committing a crime.,محكمة القصر - قسم في محاكم الأحداث ينظر فيها قضايا يُتهم فيها الأحداث بارتكاب جريمة.,محكمة الأحداث
"DELINQUENCY, JUVENILE","Antisocial behavior by a minor; especially behavior that would be criminally punishable if the minor were an adult, but instead is usually punished by special laws pertaining only to minors.",جنحة، صغير - يحدث عندما يظهر الحدث سلوك مغاير، وخاصة السلوك الذي يعاقب عليه قانونيا لو كان الفاعل بالغا، لكن بدلا من ذلك يتم معاقبته بقوانين خاصة تخص الأحداث فقط.,جنحة الأحداث
DEMURRER,"When a defendant says the facts presented by a plaintiff may be true, but they aren’t enough to prove the defendant’s legal responsibility.",اعتراض - عندما يذكر المدعى عليه أن الوقائع التي قدمها المدعي قد تكون صحيحة، لكنها غير كافية لإثبات المسؤولية القانونية.,اعتراض
DENNIS H.,A hearing to determine if there is sufficient evidence to sustain a juvenile court petition.,دينيس اتش - جلسة لتحديد إذا ما كان هناك دليل كاف لدعم التماس لمحكمة الأحداث.,دينيس اتش
DE NOVO,"Starting a case all over again as if it had not been heard before. In Latin, novo means “new.” (See TRIAL DE NOVO.)",دي نوفو - البدء بقضية منعمة سابقا (دي نوفو) وكأن القضية لم تسمع من قبل. 'نوفو' تعني ‘جديد’ باللاتينية. (انظر: المحاكمة من جديد).,دي نوفو
DEPENDENCY COURT,The division of the Juvenile Court hearing cases of child abuse and neglect.,محكمة الإهمال - قسم في محاكم الأحداث يسمع قضايا سوء معاملة الأطفال وإهمالهم.,محكمة الإهمال
DEPENDENT CHILD,"In family law, this usually means a child that is financially supported by another person. In juvenile law, this means a minor that is in the custody of the court because he or she was abused, neglected, or molested or is physically dangerous to the public because of a mental or physical disorder.",رعيل صغير - في قانون الأسرة، يعني عادة الطفل الذي يعول ماليا من قبل شخص آخر. في قانون الأحداث، يعني القاصر الذي يكون تحت رعاية المحكمة بسبب تعرضه للإساءة أو الإهمال أو التحرش، أو إذا كان خطرا على العامة بسبب اضطراب عقلي أو جسدي.,رعيل صغير
DEPORTATION,"The act of removing a person to another country. Order issued by an immigration judge, expelling an illegal resident from the United States. A deportation has certain consequences regarding the number of years within which a deportee may not legally immigrate. There are also criminal consequences for reentry within a prescribed time period.",إبعاد - عملية نقل شخص إلى بلد آخر. أوامر صادرة من قاضي الهجرة، تقضي بطرد الساكن غير الشرعي من الولايات المتحدة. يترتب على الإبعاد عواقب معينة بخصوص عدد السنوات التي لا يجوز خلالها للمبعد الهجرة بشكل قانوني. كما أن هناك عواقب جنائية لمحاولة الدخول الى البلاد قبل مرور فترة محددة.,إبعاد
DEPOSITION,"Written or oral testimony given under oath in front of an authorized third person like a court reporter. Depositions take place outside of the courtroom. They allow the parties to get a record of a person’s testimony, or to get testimony from a witness that lives far away. They can help the lawyers prepare their court papers called ""pleadings.""",إفادة - شهادة خطية أو شفوية تقدم تحت القسم أمام شخص ثالث معتمد مثل مسجل المحكمة. تتم الإفادات خارج قاعة المحكمة. تسمح للأطراف بالحصول على سجل لشهادة شخص، أو للحصول على شهادة من شاهد يعيش بعيدا. يمكن أن تساعد الإفادات المحامين في إعداد وثائق المحكمة المسماة ‘لوائح’.,إفادة
